nombre,poblacion,superficie,continente
Italia,60262770,301340,Europa
Jamaica,2961161,10991,América
Japón,125584838,377975,Asia
Jordania,10203140,89342,Asia
Kazajistán,18776707,2724900,Asia
Kenia,53771296,580367,África
Kirguistán,6340000,199951,Asia
Kiribati,119446,811,Oceanía
Kuwait,4270563,17818,Asia
Laos,7275560,236800,Asia
Lesoto,2142242,30355,África
Letonia,1886198,64559,Europa
Líbano,6840000,10452,Asia
Liberia,5057677,111369,África
Libia,6871297,1759540,África
Liechtenstein,38128,160,Europa
Lituania,2722289,65300,Europa
Luxemburgo,634814,2586,Europa
Madagascar,27691018,587041,África
Malasia,33400000,330803,Asia
Malaui,20680000,118484,África
Maldivas,392040,298,Asia
Malí,20250833,1240192,África
Malta,51464,316,Europa
Marruecos,37400000,446550,África
Mauricio,1265000,2040,África
Mauritania,4420000,1030700,África
México,130262216,1964375,América
Micronesia,115000,702,Oceanía
Moldavia,2600000,33843,Europa
Mónaco,39242,2,Europa
Mongolia,3278290,1564116,Asia
Montenegro,619211,13812,Europa
Mozambique,31255435,801590,África
Namibia,2600000,825615,África
Nauru,10000,21,Oceanía
Nepal,30000000,147516,Asia
Nicaragua,6624554,130375,América
Níger,24400000,1267000,África
Nigeria,206000000,923768,África
Noruega,5421241,148729,Europa
Nueva Zelanda,5000000,268021,Oceanía
Omán,5106622,309500,Asia
Países Bajos,17134872,41850,Europa
Pakistán,243000000,881913,Asia
Palaos,18000,459,Oceanía
Panamá,4314768,75417,América
Papúa Nueva Guinea,9000000,462840,Oceanía
Paraguay,7132530,406752,América
Perú,34000000,1285216,América
Polonia,38386000,312696,Europa
Portugal,10276617,92212,Europa
Reino Unido,68497907,243610,Europa
República Centroafricana,5600000,622984,África
República Checa,10620000,78865,Europa
República del Congo,4741000,342000,África
República Democrática del Congo,102000000,2344858,África
República Dominicana,11000000,48730,América
República de Macedonia,2080000,25713,Europa
Ruanda,13100000,26338,África
Rumania,19237691,238397,Europa
Rusia,145805947,17098242,Asia
Samoa,202000,2842,Oceanía
San Cristóbal y Nieves,53000,261,América
San Marino,33931,61,Europa
San Vicente y las Granadinas,110000,389,América
Santa Lucía,180000,616,América
Santo Tomé y Príncipe,219159,964,África
Senegal,17800000,196722,África
Serbia,8772235,88361,Europa
Seychelles,98347,455,África
Sierra Leona,7976983,71740,África
Singapur,5700000,719,Asia
Siria,22000000,185180,Asia
Somalia,15893222,637657,África
Sri Lanka,21500000,65610,Asia
Sudáfrica,60200000,1219090,África
Sudán,43800000,1861484,África
Sudán del Sur,11100000,619745,África
Suecia,10379295,450295,Europa
Suiza,8837000,41285,Europa
Surinam,591919,163820,América
Tailandia,70000000,513120,Asia
Tanzania,70000000,945087,África
Tayikistán,10000000,143100,Asia
Timor Oriental,1300000,14874,Asia
Togo,9000000,56785,África
Tonga,106000,747,Oceanía
Trinidad y Tobago,1390000,5130,América
Túnez,13000000,163610,África
Turkmenistán,6000000,488100,Asia
Turquía,85000000,783562,Asia
Tuvalu,12000,26,Oceanía
Ucrania,41052600,603550,Europa
Uganda,45741000,241038,África
Uruguay,3500000,176215,América
Uzbekistán,34232050,447400,Asia
Vanuatu,307145,12189,Oceanía
Vaticano,825,0,Europa
Venezuela,28515829,916445,América
Vietnam,97338583,331212,Asia
Yemen,29825968,527968,Asia
Yibuti,900000,23200,África
Zambia,18383955,752612,África
Zimbabue,14862924,390757,África
